Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,
208,Poland,"1,127,771","964,725","825,251","722,509","642,417","619,403","655,985"
209,Republic of Moldova,"544,162","367,231","247,828","171,122","129,488","106,374","104,713"
210,Romania,"135,825","135,037","134,254","145,162","177,211","281,048","462,552"
211,Russian Federation,"11,524,948","11,928,927","11,900,297","11,667,588","11,194,710","11,643,276","11,640,559"
212,Slovakia,"41,295","69,323","116,376","130,491","146,319","177,624","187,984"
213,Ukraine,"6,892,920","6,172,338","5,527,087","5,050,302","4,818,767","4,915,142","4,964,293"
215,Channel Islands,"61,660","60,519","64,301","70,941","77,581","82,307","83,833"
216,Denmark,"235,189","303,108","371,026","440,383","500,772","595,876","722,878"
217,Estonia,"381,997","315,755","249,512","233,701","217,890","194,664","190,242"
218,Faroe Islands,"4,285","2,900","3,593","4,583","5,096","5,485","6,454"
219,Finland,"63,255","99,729","136,203","192,169","228,481","314,856","383,116"
220,Iceland,"9,584","12,738","15,892","25,492","35,091","39,072","52,404"
221,Ireland,"227,961","226,892","350,552","589,046","730,542","759,256","833,564"
222,Isle of Man,"34,769","36,886","39,002","41,475","43,447","42,238","42,864"
223,Latvia,"646,007","538,093","430,178","376,725","313,786","265,418","237,266"
224,Lithuania,"349,258","273,587","214,311","201,209","160,772","136,021","117,218"
225,Norway,"192,587","233,302","292,440","361,144","526,799","746,375","867,765"
226,Sweden,"788,767","936,022","1,003,798","1,125,790","1,384,929","1,676,264","2,005,210"
227,United Kingdom,"3,650,286","4,155,293","4,730,165","5,926,156","7,119,664","8,411,569","9,552,110"
229,Albania,"66,013","71,354","76,695","64,739","52,784","52,031","49,160"
230,Andorra,"38,891","44,206","42,147","50,298","52,053","42,264","45,102"
231,Bosnia and Herzegovina,"56,000","69,476","82,952","47,272","38,792","38,574","35,735"
232,Croatia,"475,438","674,085","585,298","579,273","573,248","561,093","518,083"
233,Gibraltar,"8,709","8,381","8,054","9,211","10,369","11,065","11,172"
234,Greece,"618,139","857,850","1,111,665","1,190,707","1,321,149","1,242,924","1,211,382"
235,Holy See,768,780,785,798,794,803,799
236,Italy,"1,428,219","1,774,954","2,121,688","3,954,790","5,787,893","5,805,328","6,273,722"
237,Malta,"15,077","17,740","21,521","24,560","33,008","52,642","84,949"
238,Montenegro,..,..,..,..,"78,512","71,719","70,967"
239,North Macedonia,"95,142","109,343","125,665","127,667","129,701","130,730","131,175"
240,Portugal,"435,782","532,822","651,472","771,184","762,825","864,814","888,162"
241,San Marino,"3,310","3,659","4,045","4,218","4,880","5,195","5,507"
242,Serbia,"99,269","870,980","977,873","854,848","826,275","807,441","820,312"
243,Slovenia,"178,077","174,419","214,508","217,218","253,786","237,616","253,122"
244,Spain,"821,605","1,020,067","1,657,285","4,107,226","6,280,065","5,891,208","6,104,203"
246,Austria,"793,239","894,893","996,547","1,136,270","1,275,992","1,492,374","1,779,857"
247,Belgium,"1,280,583","1,288,003","1,268,368","1,248,733","1,503,806","1,783,488","1,981,919"
248,France,"5,897,267","6,087,993","6,278,718","6,737,600","7,309,986","7,874,172","8,334,875"
249,Germany,"5,936,181","7,464,406","8,992,631","9,402,447","9,812,263","10,220,418","13,132,146"
250,Liechtenstein,"10,906","13,311","15,483","18,898","22,342","23,799","25,467"
251,Luxembourg,"113,795","126,106","139,750","150,618","163,142","248,888","291,723"
252,Monaco,"20,359","21,060","21,787","21,312","21,132","25,983","26,511"
253,Netherlands,"1,182,263","1,346,164","1,556,337","1,736,127","1,832,510","1,996,318","2,282,791"
254,Switzerland,"1,392,282","1,478,829","1,570,756","1,805,437","2,075,182","2,416,394","2,572,029"
256,Bermuda,"15,683","16,676","17,668","18,276","18,884","19,126","19,336"
257,Canada,"4,333,318","4,864,778","5,511,914","6,078,985","6,761,226","7,428,657","7,960,657"
258,Greenland,"9,282","7,121","6,601","6,556","6,091","5,797","5,690"
259,Saint Pierre and Miquelon,"1,099","1,320","1,458","1,147","1,017",986,990
260,United States of America,"23,251,026","28,451,053","34,814,053","39,258,293","44,183,643","48,178,877","50,661,149"
